,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishing status,new airconditionig
43,7700000,6000,100,2,4,yes,no,no,no,no,2,no,semi-furnished,0
44,7560000,6000,100,2,4,yes,no,no,no,yes,1,no,furnished,1
45,7560000,6000,100,2,3,yes,no,no,no,yes,0,no,semi-furnished,1
46,7525000,6000,100,2,4,yes,no,no,no,yes,1,no,furnished,1
47,7490000,6600,100,1,4,yes,no,no,no,yes,3,yes,furnished,1
48,7455000,4300,100,2,2,yes,no,yes,no,no,1,no,unfurnished,0
49,7420000,7440,100,2,1,yes,yes,yes,no,yes,0,yes,semi-furnished,1
50,7420000,7440,100,2,4,yes,no,no,no,no,1,yes,unfurnished,0
51,7420000,6325,100,1,4,yes,no,no,no,yes,1,no,unfurnished,1
52,7350000,6000,100,2,4,yes,yes,no,no,yes,1,no,furnished,1
53,7350000,5150,100,2,4,yes,no,no,no,yes,2,no,semi-furnished,1
54,7350000,6000,100,2,2,yes,yes,no,no,yes,1,no,semi-furnished,1
55,7350000,6000,100,1,2,yes,no,no,no,yes,1,no,unfurnished,1
56,7343000,11440,100,1,2,yes,no,yes,no,no,1,yes,semi-furnished,0
57,7245000,9000,100,2,4,yes,yes,no,no,yes,1,yes,furnished,1
58,7210000,7680,100,2,4,yes,yes,no,no,yes,1,no,semi-furnished,1
59,7210000,6000,100,2,4,yes,yes,no,no,yes,1,no,furnished,1
60,7140000,6000,100,2,2,yes,yes,no,no,no,1,no,semi-furnished,0
61,7070000,8880,100,1,1,yes,no,no,no,yes,1,no,semi-furnished,1
62,7070000,6240,100,2,2,yes,no,no,no,yes,1,no,furnished,1
63,7035000,6360,100,2,3,yes,no,no,no,yes,2,yes,furnished,1
64,7000000,11175,100,1,1,yes,no,yes,no,yes,1,yes,furnished,1
65,6930000,8880,100,2,2,yes,no,yes,no,yes,1,no,furnished,1
66,6930000,13200,100,1,1,yes,no,yes,yes,no,1,no,furnished,0
67,6895000,7700,100,2,1,yes,no,no,no,no,2,no,unfurnished,0
68,6860000,6000,100,1,1,yes,no,no,no,yes,1,no,furnished,1
69,6790000,12090,100,2,2,yes,no,no,no,no,2,yes,furnished,0
70,6790000,4000,100,2,2,yes,no,yes,no,yes,0,yes,semi-furnished,1
71,6755000,6000,100,2,4,yes,no,no,no,yes,0,no,unfurnished,1
72,6720000,5020,100,1,4,yes,no,no,no,yes,0,yes,unfurnished,1
73,6685000,6600,100,2,4,yes,no,yes,no,no,0,yes,furnished,0
74,6650000,4040,100,1,2,yes,no,yes,yes,no,1,no,furnished,0
75,6650000,4260,100,2,2,yes,no,no,yes,no,0,no,semi-furnished,0
76,6650000,6420,100,2,3,yes,no,no,no,yes,0,yes,furnished,1
77,6650000,6500,100,2,3,yes,no,no,no,yes,0,yes,furnished,1
78,6650000,5700,100,1,1,yes,yes,yes,no,yes,2,yes,furnished,1
79,6650000,6000,100,2,3,yes,yes,no,no,yes,0,no,furnished,1
80,6629000,6000,100,1,2,yes,no,no,yes,no,1,yes,semi-furnished,0
81,6615000,4000,100,2,2,yes,no,yes,no,yes,1,no,semi-furnished,1
82,6615000,10500,100,2,1,yes,no,yes,no,yes,1,yes,furnished,1
83,6580000,6000,100,2,4,yes,no,no,no,yes,0,no,semi-furnished,1
84,6510000,3760,100,1,2,yes,no,no,yes,no,2,no,semi-furnished,0
85,6510000,8250,100,2,3,yes,no,no,no,yes,0,no,furnished,1
86,6510000,6670,100,1,3,yes,no,yes,no,no,0,yes,unfurnished,0
87,6475000,3960,100,1,1,yes,no,yes,no,no,2,no,semi-furnished,0
88,6475000,7410,100,1,1,yes,yes,yes,no,yes,2,yes,unfurnished,1
89,6440000,8580,100,3,2,yes,no,no,no,no,2,no,furnished,0
90,6440000,5000,100,1,2,yes,no,no,no,yes,0,no,semi-furnished,1
91,6419000,6750,100,1,1,yes,yes,yes,no,no,2,yes,furnished,0
92,6405000,4800,100,2,4,yes,yes,no,no,yes,0,no,furnished,1
93,6300000,7200,100,2,1,yes,no,yes,no,yes,3,no,semi-furnished,1
94,6300000,6000,100,2,4,yes,no,no,no,no,1,no,semi-furnished,0
95,6300000,4100,100,2,3,yes,no,no,no,yes,2,no,semi-furnished,1
96,6300000,9000,100,1,1,yes,no,yes,no,no,1,yes,furnished,0
97,6300000,6400,100,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished,1
98,6293000,6600,100,2,3,yes,no,no,no,yes,0,yes,unfurnished,1
99,6265000,6000,100,1,3,yes,yes,yes,no,no,0,yes,unfurnished,0
100,6230000,6600,100,2,1,yes,no,yes,no,yes,0,yes,unfurnished,1
101,6230000,5500,100,1,3,yes,no,no,no,no,1,yes,unfurnished,0
102,6195000,5500,100,2,4,yes,yes,no,no,yes,1,no,semi-furnished,1
103,6195000,6350,100,2,3,yes,yes,no,no,yes,0,no,furnished,1
104,6195000,5500,100,2,1,yes,yes,yes,no,no,2,yes,furnished,0
105,6160000,4500,100,1,4,yes,no,no,no,yes,0,no,unfurnished,1
106,6160000,5450,100,2,1,yes,no,yes,no,yes,0,yes,semi-furnished,1
107,6125000,6420,100,1,3,yes,no,yes,no,no,0,yes,unfurnished,0
108,6107500,3240,100,1,3,yes,no,no,no,no,1,no,semi-furnished,0
109,6090000,6615,100,2,2,yes,yes,no,yes,no,1,no,semi-furnished,0
110,6090000,6600,100,1,1,yes,yes,yes,no,no,2,yes,semi-furnished,0
111,6090000,8372,100,1,3,yes,no,no,no,yes,2,no,unfurnished,1
112,6083000,4300,100,2,2,yes,no,no,no,no,0,no,furnished,0
113,6083000,9620,100,1,1,yes,no,yes,no,no,2,yes,furnished,0
114,6020000,6800,100,1,1,yes,yes,yes,no,no,2,no,furnished,0
115,6020000,8000,100,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished,1
116,6020000,6900,100,2,1,yes,yes,yes,no,no,0,yes,unfurnished,0
117,5950000,3700,100,1,2,yes,yes,no,no,yes,0,no,furnished,1
118,5950000,6420,100,1,1,yes,no,yes,no,yes,0,yes,furnished,1
119,5950000,7020,100,1,1,yes,no,yes,no,yes,2,yes,semi-furnished,1
120,5950000,6540,100,1,1,yes,yes,yes,no,no,2,yes,furnished,0
121,5950000,7231,100,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished,1
122,5950000,6254,100,2,1,yes,no,yes,no,no,1,yes,semi-furnished,0
123,5950000,7320,100,2,2,yes,no,no,no,no,0,no,furnished,0
124,5950000,6525,100,2,4,yes,no,no,no,no,1,no,furnished,0
125,5943000,15600,100,1,1,yes,no,no,no,yes,2,no,semi-furnished,1
126,5880000,7160,100,1,1,yes,no,yes,no,no,2,yes,unfurnished,0
127,5880000,6500,100,2,3,yes,no,no,no,yes,0,no,unfurnished,1
128,5873000,5500,100,1,3,yes,yes,no,no,yes,1,no,furnished,1
129,5873000,11460,100,1,3,yes,no,no,no,no,2,yes,semi-furnished,0
130,5866000,4800,100,1,1,yes,yes,yes,no,no,0,no,unfurnished,0
131,5810000,5828,100,1,4,yes,yes,no,no,no,0,no,semi-furnished,0
132,5810000,5200,100,1,3,yes,no,no,no,yes,0,no,semi-furnished,1
133,5810000,4800,100,1,3,yes,no,no,no,yes,0,no,unfurnished,1
134,5803000,7000,100,1,1,yes,no,yes,no,no,2,yes,semi-furnished,0
135,5775000,6000,100,2,4,yes,no,no,no,yes,0,no,unfurnished,1
136,5740000,5400,100,2,2,yes,no,no,no,yes,2,no,unfurnished,1
137,5740000,4640,100,1,2,yes,no,no,no,no,1,no,semi-furnished,0
138,5740000,5000,100,1,3,yes,no,no,no,yes,0,no,semi-furnished,1
139,5740000,6360,100,1,1,yes,yes,yes,no,yes,2,yes,furnished,1
140,5740000,5800,100,2,4,yes,no,no,no,yes,0,no,unfurnished,1
141,5652500,6660,100,2,2,yes,yes,yes,no,no,1,yes,semi-furnished,0
142,5600000,10500,100,2,2,yes,no,no,no,no,1,no,semi-furnished,0
143,5600000,4800,100,2,3,no,no,yes,yes,no,0,no,unfurnished,0
144,5600000,4700,100,1,2,yes,yes,yes,no,yes,1,no,furnished,1
145,5600000,5000,100,1,4,yes,no,no,no,no,0,no,furnished,0
146,5600000,10500,100,1,1,yes,no,no,no,no,1,no,semi-furnished,0
147,5600000,5500,100,2,2,yes,no,no,no,no,1,no,semi-furnished,0
148,5600000,6360,100,1,3,yes,no,no,no,no,0,yes,semi-furnished,0
149,5600000,6600,100,2,1,yes,no,yes,no,no,0,yes,semi-furnished,0
150,5600000,5136,100,1,2,yes,yes,yes,no,yes,0,yes,unfurnished,1
151,5565000,4400,100,1,2,yes,no,no,no,yes,2,yes,semi-furnished,1
152,5565000,5400,100,1,2,yes,yes,yes,no,yes,0,yes,furnished,1
153,5530000,3300,100,3,2,yes,no,yes,no,no,0,no,semi-furnished,0
154,5530000,3650,100,2,2,yes,no,no,no,no,2,no,semi-furnished,0
155,5530000,6100,100,2,1,yes,no,yes,no,no,2,yes,furnished,0
156,5523000,6900,100,1,1,yes,yes,yes,no,no,0,yes,semi-furnished,0
157,5495000,2817,100,2,2,no,yes,yes,no,no,1,no,furnished,0
158,5495000,7980,100,1,1,yes,no,no,no,no,2,no,semi-furnished,0
159,5460000,3150,100,2,1,yes,yes,yes,no,yes,0,no,furnished,1
160,5460000,6210,100,1,4,yes,yes,no,no,yes,0,no,furnished,1
161,5460000,6100,100,1,3,yes,yes,no,no,yes,0,yes,semi-furnished,1
162,5460000,6600,100,2,2,yes,yes,yes,no,no,0,yes,semi-furnished,0
163,5425000,6825,100,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished,1
164,5390000,6710,100,2,2,yes,yes,yes,no,no,1,yes,furnished,0
165,5383000,6450,100,2,1,yes,yes,yes,yes,no,0,no,unfurnished,0
166,5320000,7800,100,1,1,yes,no,yes,no,yes,2,yes,unfurnished,1
167,5285000,4600,100,2,1,yes,no,no,no,yes,2,no,semi-furnished,1
168,5250000,4260,100,1,2,yes,no,yes,no,yes,0,no,furnished,1
169,5250000,6540,100,2,2,no,no,no,no,yes,0,no,semi-furnished,1
170,5250000,5500,100,2,1,yes,no,yes,no,no,0,no,semi-furnished,0
171,5250000,10269,100,1,1,yes,no,no,no,no,1,yes,semi-furnished,0
172,5250000,8400,100,1,2,yes,yes,yes,no,yes,2,yes,unfurnished,1
173,5250000,5300,100,2,1,yes,no,no,no,yes,0,yes,unfurnished,1
174,5250000,3800,100,1,2,yes,yes,yes,no,no,1,yes,unfurnished,0
175,5250000,9800,100,2,2,yes,yes,no,no,no,2,no,semi-furnished,0
176,5250000,8520,100,1,1,yes,no,no,no,yes,2,no,furnished,1
177,5243000,6050,100,1,1,yes,no,yes,no,no,0,yes,semi-furnished,0
178,5229000,7085,100,1,1,yes,yes,yes,no,no,2,yes,semi-furnished,0
179,5215000,3180,100,2,2,yes,no,no,no,no,2,no,semi-furnished,0
180,5215000,4500,100,2,1,no,no,yes,no,yes,2,no,semi-furnished,1
181,5215000,7200,100,1,2,yes,yes,yes,no,no,1,yes,furnished,0
182,5145000,3410,100,1,2,no,no,no,no,yes,0,no,semi-furnished,1
183,5145000,7980,100,1,1,yes,no,no,no,no,1,yes,semi-furnished,0
184,5110000,3000,100,2,2,yes,yes,yes,no,no,0,no,furnished,0
185,5110000,3000,100,1,2,yes,no,yes,no,no,0,no,unfurnished,0
186,5110000,11410,100,1,2,yes,no,no,no,no,0,yes,furnished,0
187,5110000,6100,100,1,1,yes,no,yes,no,yes,0,yes,semi-furnished,1
188,5075000,5720,100,1,2,yes,no,no,no,yes,0,yes,unfurnished,1
189,5040000,3540,100,1,1,no,yes,yes,no,no,0,no,semi-furnished,0
190,5040000,7600,100,1,2,yes,no,no,no,yes,2,no,furnished,1
191,5040000,10700,100,1,2,yes,yes,yes,no,no,0,no,semi-furnished,0
192,5040000,6600,100,1,1,yes,yes,yes,no,no,0,yes,furnished,0
193,5033000,4800,100,1,1,yes,yes,yes,no,no,0,no,semi-furnished,0
194,5005000,8150,100,2,1,yes,yes,yes,no,no,0,no,semi-furnished,0
195,4970000,4410,100,3,2,yes,no,yes,no,no,2,no,semi-furnished,0
196,4970000,7686,100,1,1,yes,yes,yes,yes,no,0,no,semi-furnished,0
197,4956000,2800,100,2,2,no,no,yes,no,yes,1,no,semi-furnished,1
198,4935000,5948,100,1,2,yes,no,no,no,yes,0,no,semi-furnished,1
199,4907000,4200,100,1,2,yes,no,no,no,no,1,no,furnished,0
200,4900000,4520,100,1,2,yes,no,yes,no,yes,0,no,semi-furnished,1
201,4900000,4095,100,1,2,no,yes,yes,no,yes,0,no,semi-furnished,1
202,4900000,4120,100,1,1,yes,no,yes,no,no,1,no,semi-furnished,0
203,4900000,5400,100,1,2,yes,no,no,no,no,0,no,semi-furnished,0
204,4900000,4770,100,1,1,yes,yes,yes,no,no,0,no,semi-furnished,0
205,4900000,6300,100,1,1,yes,no,no,no,yes,2,no,semi-furnished,1
206,4900000,5800,100,1,1,yes,yes,yes,no,yes,0,no,semi-furnished,1
207,4900000,3000,100,1,2,yes,no,yes,no,yes,0,no,semi-furnished,1
208,4900000,2970,100,1,3,yes,no,no,no,no,0,no,semi-furnished,0
209,4900000,6720,100,1,1,yes,no,no,no,no,0,no,unfurnished,0
210,4900000,4646,100,1,2,yes,yes,yes,no,no,2,no,semi-furnished,0
211,4900000,12900,100,1,1,yes,no,no,no,no,2,no,furnished,0
212,4893000,3420,100,2,2,yes,no,yes,no,yes,2,no,semi-furnished,1
213,4893000,4995,100,2,1,yes,no,yes,no,no,0,no,semi-furnished,0
214,4865000,4350,100,1,1,yes,no,yes,no,no,0,no,unfurnished,0
215,4830000,4160,100,1,3,yes,no,no,no,no,0,no,unfurnished,0
216,4830000,6040,100,1,1,yes,no,no,no,no,2,yes,semi-furnished,0
217,4830000,6862,100,1,2,yes,no,no,no,yes,2,yes,furnished,1
218,4830000,4815,100,1,1,yes,no,no,no,yes,0,yes,semi-furnished,1
219,4795000,7000,100,1,2,yes,no,yes,no,no,0,no,unfurnished,0
220,4795000,8100,100,1,4,yes,no,yes,no,yes,2,no,semi-furnished,1
221,4767000,3420,100,2,2,yes,no,no,no,no,0,no,semi-furnished,0
222,4760000,9166,100,1,1,yes,no,yes,no,yes,2,no,semi-furnished,1
223,4760000,6321,100,1,2,yes,no,yes,no,yes,1,no,furnished,1
224,4760000,10240,100,1,1,yes,no,no,no,yes,2,yes,unfurnished,1
225,4753000,6440,100,1,1,yes,no,no,no,yes,3,no,semi-furnished,1
226,4690000,5170,100,1,4,yes,no,no,no,yes,0,no,semi-furnished,1
227,4690000,6000,100,1,1,yes,no,yes,no,yes,1,no,furnished,1
228,4690000,3630,100,1,2,yes,no,no,no,no,2,no,semi-furnished,0
229,4690000,9667,100,2,2,yes,yes,yes,no,no,1,no,semi-furnished,0
230,4690000,5400,100,1,2,yes,no,no,no,no,0,yes,semi-furnished,0
231,4690000,4320,100,1,1,yes,no,no,no,no,0,yes,semi-furnished,0
232,4655000,3745,100,1,2,yes,no,yes,no,no,0,no,furnished,0
233,4620000,4160,100,1,1,yes,yes,yes,no,yes,0,no,unfurnished,1
234,4620000,3880,100,2,2,yes,no,yes,no,no,2,no,semi-furnished,0
235,4620000,5680,100,1,2,yes,yes,no,no,yes,1,no,semi-furnished,1
236,4620000,2870,100,1,2,yes,yes,yes,no,no,0,yes,semi-furnished,0
237,4620000,5010,100,1,2,yes,no,yes,no,no,0,no,semi-furnished,0
238,4613000,4510,100,2,2,yes,no,yes,no,no,0,no,semi-furnished,0
239,4585000,4000,100,1,2,yes,no,no,no,no,1,no,furnished,0
240,4585000,3840,100,1,2,yes,no,no,no,no,1,yes,semi-furnished,0
241,4550000,3760,100,1,1,yes,no,no,no,no,2,no,semi-furnished,0
242,4550000,3640,100,1,2,yes,no,no,no,yes,0,no,furnished,1
243,4550000,2550,100,1,2,yes,no,yes,no,no,0,no,furnished,0
244,4550000,5320,100,1,2,yes,yes,yes,no,no,0,yes,semi-furnished,0
245,4550000,5360,100,1,2,yes,no,no,no,no,2,yes,unfurnished,0
246,4550000,3520,100,1,1,yes,no,no,no,no,0,yes,semi-furnished,0
247,4550000,8400,100,1,4,yes,no,no,no,no,3,no,unfurnished,0
248,4543000,4100,100,2,1,yes,yes,yes,no,no,0,no,semi-furnished,0
249,4543000,4990,100,2,2,yes,yes,yes,no,no,0,yes,furnished,0
250,4515000,3510,100,1,3,yes,no,no,no,no,0,no,semi-furnished,0
251,4515000,3450,100,1,2,yes,no,yes,no,no,1,no,semi-furnished,0
252,4515000,9860,100,1,1,yes,no,no,no,no,0,no,semi-furnished,0
253,4515000,3520,100,1,2,yes,no,no,no,no,0,yes,furnished,0
254,4480000,4510,100,1,2,yes,no,no,no,yes,2,no,semi-furnished,1
255,4480000,5885,100,1,1,yes,no,no,no,yes,1,no,unfurnished,1
256,4480000,4000,100,1,2,yes,no,no,no,no,2,no,furnished,0
257,4480000,8250,100,1,1,yes,no,no,no,no,0,no,furnished,0
258,4480000,4040,100,1,2,yes,no,no,no,no,1,no,semi-furnished,0
259,4473000,6360,100,1,1,yes,no,yes,no,yes,1,no,furnished,1
260,4473000,3162,100,1,2,yes,no,no,no,yes,1,no,furnished,1
261,4473000,3510,100,1,2,yes,no,no,no,no,0,no,semi-furnished,0
262,4445000,3750,100,1,1,yes,yes,yes,no,no,0,no,semi-furnished,0
263,4410000,3968,100,1,2,no,no,no,no,no,0,no,semi-furnished,0
264,4410000,4900,100,1,2,yes,no,yes,no,no,0,no,semi-furnished,0
265,4403000,2880,100,1,2,yes,no,no,no,no,0,yes,semi-furnished,0
266,4403000,4880,100,1,1,yes,no,no,no,no,2,yes,unfurnished,0
267,4403000,4920,100,1,2,yes,no,no,no,no,1,no,semi-furnished,0
268,4382000,4950,100,1,2,yes,no,no,no,yes,0,no,semi-furnished,1
269,4375000,3900,100,1,2,yes,no,no,no,no,0,no,unfurnished,0
270,4340000,4500,100,2,3,yes,no,no,yes,no,1,no,furnished,0
271,4340000,1905,100,1,2,no,no,yes,no,no,0,no,semi-furnished,0
272,4340000,4075,100,1,1,yes,yes,yes,no,no,2,no,semi-furnished,0
273,4340000,3500,100,1,2,yes,no,no,no,no,2,no,furnished,0
274,4340000,6450,100,1,2,yes,no,no,no,no,0,no,semi-furnished,0
275,4319000,4032,100,1,1,yes,no,yes,no,no,0,no,furnished,0
276,4305000,4400,100,1,1,yes,no,no,no,no,1,no,semi-furnished,0
277,4305000,10360,100,1,1,yes,no,no,no,no,1,yes,semi-furnished,0
278,4277000,3400,100,1,2,yes,no,yes,no,no,2,yes,semi-furnished,0
279,4270000,6360,100,1,1,yes,no,no,no,no,0,no,furnished,0
280,4270000,6360,100,1,2,yes,no,no,no,no,0,no,unfurnished,0
281,4270000,4500,100,1,1,yes,no,no,no,yes,2,no,furnished,1
282,4270000,2175,100,1,2,no,yes,yes,no,yes,0,no,unfurnished,1
283,4270000,4360,100,1,2,yes,no,no,no,no,0,no,furnished,0
284,4270000,7770,100,1,1,yes,no,no,no,no,1,no,furnished,0
285,4235000,6650,100,1,2,yes,yes,no,no,no,0,no,semi-furnished,0
286,4235000,2787,100,1,1,yes,no,yes,no,no,0,yes,furnished,0
287,4200000,5500,100,1,2,yes,no,no,no,yes,0,no,unfurnished,1
288,4200000,5040,100,1,2,yes,no,yes,no,yes,0,no,unfurnished,1
289,4200000,5850,100,1,1,yes,yes,yes,no,no,2,no,semi-furnished,0
290,4200000,2610,100,3,2,no,no,no,no,no,0,no,semi-furnished,0
291,4200000,2953,100,1,2,yes,no,yes,no,yes,0,no,unfurnished,1
292,4200000,2747,100,2,2,no,no,no,no,no,0,no,semi-furnished,0
293,4200000,4410,100,1,1,no,no,no,no,no,1,no,unfurnished,0
294,4200000,4000,100,2,2,no,no,no,no,no,0,no,semi-furnished,0
295,4200000,2325,100,1,2,no,no,no,no,no,0,no,semi-furnished,0
296,4200000,4600,100,2,2,yes,no,no,no,yes,1,no,semi-furnished,1
297,4200000,3640,100,2,2,yes,no,yes,no,no,0,no,unfurnished,0
298,4200000,5800,100,1,1,yes,no,no,yes,no,2,no,semi-furnished,0
299,4200000,7000,100,1,1,yes,no,no,no,no,3,no,furnished,0
300,4200000,4079,100,1,3,yes,no,no,no,no,0,no,semi-furnished,0
301,4200000,3520,100,1,2,yes,no,no,no,no,0,yes,semi-furnished,0
302,4200000,2145,100,1,3,yes,no,no,no,no,1,yes,unfurnished,0
303,4200000,4500,100,1,1,yes,no,yes,no,no,0,no,furnished,0
304,4193000,8250,100,1,1,yes,no,yes,no,no,3,no,semi-furnished,0
305,4193000,3450,100,1,2,yes,no,no,no,no,1,no,semi-furnished,0
306,4165000,4840,100,1,2,yes,no,no,no,no,1,no,semi-furnished,0
307,4165000,4080,100,1,2,yes,no,no,no,no,2,no,semi-furnished,0
308,4165000,4046,100,1,2,yes,no,yes,no,no,1,no,semi-furnished,0
309,4130000,4632,100,1,2,yes,no,no,no,yes,0,no,semi-furnished,1
310,4130000,5985,100,1,1,yes,no,yes,no,no,0,no,semi-furnished,0
311,4123000,6060,100,1,1,yes,no,yes,no,no,1,no,semi-furnished,0
312,4098500,3600,100,1,1,yes,no,yes,no,yes,0,yes,furnished,1
313,4095000,3680,100,2,2,yes,no,no,no,no,0,no,semi-furnished,0
314,4095000,4040,100,1,2,yes,no,no,no,no,1,no,semi-furnished,0
315,4095000,5600,100,1,1,yes,no,no,no,yes,0,no,semi-furnished,1
316,4060000,5900,100,2,2,no,no,yes,no,no,1,no,unfurnished,0
317,4060000,4992,100,2,2,yes,no,no,no,no,2,no,unfurnished,0
318,4060000,4340,100,1,1,yes,no,no,no,no,0,no,semi-furnished,0
319,4060000,3000,100,1,3,yes,no,yes,no,yes,2,no,semi-furnished,1
320,4060000,4320,100,1,2,yes,no,no,no,no,2,yes,furnished,0
321,4025000,3630,100,2,2,yes,no,no,yes,no,2,no,semi-furnished,0
322,4025000,3460,100,2,1,yes,no,yes,no,yes,1,no,furnished,1
323,4025000,5400,100,1,1,yes,no,no,no,no,3,no,semi-furnished,0
324,4007500,4500,100,1,2,no,no,yes,no,yes,0,no,semi-furnished,1
325,4007500,3460,100,1,2,yes,no,no,no,yes,0,no,semi-furnished,1
326,3990000,4100,100,1,1,no,no,yes,no,no,0,no,unfurnished,0
327,3990000,6480,100,1,2,no,no,no,no,yes,1,no,semi-furnished,1
328,3990000,4500,100,2,2,no,no,yes,no,yes,0,no,semi-furnished,1
329,3990000,3960,100,1,2,yes,no,no,no,no,0,no,furnished,0
330,3990000,4050,100,1,2,yes,yes,yes,no,no,0,yes,unfurnished,0
331,3920000,7260,100,2,1,yes,yes,yes,no,no,3,no,furnished,0
332,3920000,5500,100,1,2,yes,yes,yes,no,no,0,no,semi-furnished,0
333,3920000,3000,100,1,2,yes,no,no,no,no,0,no,semi-furnished,0
334,3920000,3290,100,1,1,yes,no,no,yes,no,1,no,furnished,0
335,3920000,3816,100,1,1,yes,no,yes,no,yes,2,no,furnished,1
336,3920000,8080,100,1,1,yes,no,no,no,yes,2,no,semi-furnished,1
337,3920000,2145,100,2,1,yes,no,yes,no,no,0,yes,unfurnished,0
338,3885000,3780,100,1,2,yes,yes,yes,no,no,0,no,semi-furnished,0
339,3885000,3180,100,2,2,yes,no,no,no,no,0,no,furnished,0
340,3850000,5300,100,2,2,yes,no,no,no,no,0,no,semi-furnished,0
341,3850000,3180,100,2,1,yes,no,yes,no,no,2,no,semi-furnished,0
342,3850000,7152,100,1,2,yes,no,no,no,yes,0,no,furnished,1
343,3850000,4080,100,1,1,yes,no,no,no,no,0,no,semi-furnished,0
344,3850000,3850,100,1,1,yes,no,no,no,no,0,no,semi-furnished,0
345,3850000,2015,100,1,2,yes,no,yes,no,no,0,yes,semi-furnished,0
346,3850000,2176,100,1,2,yes,yes,no,no,no,0,yes,semi-furnished,0
347,3836000,3350,100,1,2,yes,no,no,no,no,0,no,unfurnished,0
348,3815000,3150,100,2,1,no,no,yes,no,no,0,no,semi-furnished,0
349,3780000,4820,100,1,2,yes,no,no,no,no,0,no,semi-furnished,0
350,3780000,3420,100,1,2,yes,no,no,yes,no,1,no,semi-furnished,0
351,3780000,3600,100,1,1,yes,no,no,no,no,0,no,semi-furnished,0
